biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
biome 23 ffffff 80b497 60a17b
biome 28 ffffff 78ed85 78ed85
biome 29 ff107a 69cfdb 70e099
biome 30 ffffff bfb755 aea42a
biome 31 ffffff a1c36d a1c36d
biome 32 ffffff 47cd33 1abf00
biome 33 ffffff baa960 c4cc55
biome 34 ffffff b6ff5e 8bff56
biome 35 ffffff 79c05a 59ae30
biome 36 ffffff 82b593 63a277
biome 37 4fff3f 62a03b 6bbc3c
biome 38 ffff77 ccc9ad d7dbb6
biome 39 ffffff b2b952 9fa726
biome 40 ffffff 83bd65 65ab3e
biome 41 ffffff bec44c b3c442
biome 42 ffffff 91b971 76a64e
biome 43 ffffff 80b497 60a17b
biome 44 ffffff a6ad66 a89b59
biome 45 ffffff c8e84a c8e84a
biome 46 ffffff c8e84a c8e84a
biome 47 1e1b26 3f4151 3f4151
biome 48 ffffff a4b76e 8ca44a
biome 49 ffffff a9ba64 a9ba64
biome 50 ffffff 63b26d 63b26d
biome 57 ffffff 7fbc6d 60aa48
biome 58 ffffff 7fbc6d 60aa48
biome 59 ffffff 7fbc6d 60aa48
biome 60 ffffff 86b688 67a369
biome 61 ffffff 8abf57 6dae2c
biome 62 ffffff 78ed85 78ed85
biome 63 ffffff 78ed85 78ed85
biome 64 ffffff 78ed85 78ed85
biome 65 ffffff bfb755 aea42a
biome 66 ffffff bfb755 aea42a
biome 67 ffffff bfb755 aea42a
biome 68 ffffff bfb755 aea42a
biome 69 ffffff bfb755 aea42a
biome 70 ffffff 70c15b 4cb031
biome 71 ffffff 8eb971 71a74d
biome 72 ffffff 79c05a 59ae30
biome 73 ffffff 95b872 7aa54f
biome 74 ffffff 83bb6d 63a948
biome 75 e0ffae 5c694e 496137
biome 76 ffffff 7cbd6b 5bab46
biome 77 ffffff 84b68d 65a371
biome 78 ffffff 80b497 60a17b
biome 79 ffffff 91bd59 77ab2f
biome 80 ffffff 8eb971 71a74d
biome 81 ffffff 8eb971 71a74d
biome 82 ffffff 61c64b 3bb61e
biome 83 ffffff 8eb971 71a74d
biome 84 ffffff 8eb971 71a74d
biome 85 ffffff 554114 3b5e3f
biome 86 ffffff 80b4e9 81b49b
biome 87 6c2c2c 572e23 64260f
biome 99 ff0000 ff4422 ff4422
biome 139 0a2a72 283f0b 283f0b
biome 160 ffffff 8eb971 71a74d
biome 161 ffffff bfb755 aea42a
biome 162 cc1188 6d4189 7c6d87
biome 163 0077ee 55ff81 66ffc5
biome 164 2e535f 404840 405340
biome 170 ffffff 80b497 60a17b
biome 171 ffffff aa8a4e b5a353
biome 172 ffffff b9b953 a7a529
biome 173 ffffff a3e053 a3e053
biome 174 ffd932 8baf6b b0e088
biome 175 ffffff 92b77a 77a458
biome 176 ffffff d8935f dae579
biome 177 ffffff 9fb771 c9ce65
biome 178 ffffff c9c17f b2c67f
biome 179 ffffff a9ba64 a9ba64
biome 180 ffffff c0d85d 77ab2f
biome 181 ffffff a3ffaa a3ffaa
biome 182 ffffff 91b971 76a64e
biome 183 ffffff 80b497 60a17b
biome 184 0e6a35 94b77a 79a359
biome 185 ffffff bca165 bca165
biome 186 ffffff aa8a4e b5a353
biome 187 a2ad51 66704c 66704c
biome 188 ff0000 b9b953 a7a529
biome 189 ffffff c1b749 c4c93a
